Task,Category,Priority
Analyze sprint plan 373,Work,Medium
Cook favorite podcast 463,Personal,Low
Attend history essay 254,Study,Medium
Analyze budget sheet 372,Work,Medium
Fix server maintenance 73,Work,Medium
Submit quarterly sales data 208,Work,High
Develop server maintenance 291,Work,Medium
Fix marketing strategy 932,Work,Medium
Water favorite podcast 318,Personal,Low
Submit history essay 942,Study,High
Attend coding challenge 417,Study,Medium
Read physics numericals 255,Study,Medium
Practice English vocabulary 80,Study,Medium
Draft code documentation 1,Work,Medium
Submit server maintenance 763,Work,High
Schedule software feature 694,Work,Medium
Clean garden plants 72,Personal,Low
Revise geography project 74,Study,Medium
Call server maintenance 307,Work,Medium
Clean garden plants 49,Personal,Low
Go to Netflix movie 231,Personal,Low
Memorize thesis introduction 533,Study,Medium
Play living room 729,Personal,Medium
Study final exam 637,Study,High
Complete final exam 713,Study,High
Clean football with friends 314,Personal,Low
Fix contract for freelancer 401,Work,Medium
Research English vocabulary 250,Study,Medium
Complete psychology notes 251,Study,Medium
Research server maintenance 310,Work,Medium
Analyze code documentation 779,Work,Medium
Write final exam 858,Study,High
Pay electricity bill 146,Personal,High
Visit gym workout 500,Personal,Medium
Complete bug in production 363,Work,High
Review marketing strategy 375,Work,Medium
Coordinate code documentation 708,Work,Medium
Present office workstation 390,Work,Medium
Organize marketing strategy 271,Work,Medium
Email quarterly sales data 413,Work,Medium
Plan football with friends 723,Personal,Low
Research university library books 311,Study,Medium
Take notes for physics numericals 168,Study,Medium
Organize garden plants 610,Personal,Medium
Pay weekend trip 730,Personal,Low
Schedule bug in production 705,Work,High
Submit machine learning tutorial 116,Study,High
Read chemistry lab report 138,Study,Medium
Organize wardrobe 716,Personal,Medium
Update marketing strategy 601,Work,Medium
Study final exam 83,Study,High
Attend marketing strategy 689,Work,Medium
Review server maintenance 51,Work,Medium
Read math assignment 271,Study,Medium
Attend sprint plan 14,Work,Medium
Fix quarterly sales data 167,Work,Medium
Organize contract for freelancer 687,Work,Medium
Email code documentation 668,Work,Medium
Fix budget sheet 244,Work,Medium
Wash favorite podcast 371,Personal,Low
Wash living room 92,Personal,Medium
Wash electricity bill 972,Personal,High
Review team meeting 702,Work,High
Listen to wardrobe 591,Personal,Medium
Pay garden plants 120,Personal,Medium
Fix server maintenance 400,Work,Medium
Organize Netflix movie 513,Personal,Low
Go to living room 73,Personal,Medium
Complete geography project 378,Study,Medium
Complete team meeting 597,Work,High
Read physics numericals 524,Study,Medium
Clean electricity bill 509,Personal,High
Exercise dentist appointment 114,Personal,Medium
Present business lead 105,Work,Medium
Update business lead 269,Work,Medium
Exercise healthy dinner 81,Personal,Medium
Coordinate office workstation 538,Work,Medium
Watch healthy dinner 433,Personal,Low
Pay weekend trip 886,Personal,Low
Cook dentist appointment 1000,Personal,Medium
Plan dancing class 282,Personal,Low
Wash Netflix movie 232,Personal,Low
Read math assignment 940,Study,Medium
Go to dancing class 472,Personal,Low
Clean car 587,Personal,Low
Watch football with friends 958,Personal,Low
Listen to dentist appointment 95,Personal,Medium
Analyze project report 874,Work,Medium
Complete English vocabulary 706,Study,Medium
Study chemistry lab report 437,Study,Medium
Present quarterly sales data 654,Work,Medium
Develop contract for freelancer 805,Work,Medium
Prepare machine learning tutorial 38,Study,Medium
Attend wardrobe 13,Personal,Medium
Coordinate quarterly sales data 425,Work,Medium
Present business lead 524,Work,Medium
Read biology chapter 557,Study,Medium
Complete math assignment 567,Study,Medium
Organize wardrobe 665,Personal,Medium
Organize garden plants 776,Personal,Medium
Plan weekly groceries 87,Personal,Medium
Buy gym workout 610,Personal,Medium
Go to car 305,Personal,Medium
Organize Netflix movie 442,Personal,Low
Submit history essay 439,Study,High
Memorize chemistry lab report 717,Study,Medium
Attend final exam 90,Study,High
Attend server maintenance 656,Work,Medium
Research coding challenge 92,Study,Medium
Wash healthy dinner 472,Personal,Medium
Write coding challenge 657,Study,Medium
Draft office workstation 125,Work,Medium
Listen to weekend trip 379,Personal,Low
Update LinkedIn profile 520,Work,Medium
Organize code documentation 816,Work,Medium
Organize code documentation 701,Work,Medium
Go to healthy dinner 177,Personal,Medium
Analyze bug in production 559,Work,High
Memorize chemistry lab report 59,Study,Medium
Attend coding challenge 58,Study,Medium
Take notes for chemistry lab report 692,Study,Medium
Clean gym workout 234,Personal,Low
Research physics numericals 844,Study,Medium
Develop software feature 199,Work,Medium
Buy wardrobe 663,Personal,Medium
Revise chemistry lab report 543,Study,Medium
Plan yoga session 376,Personal,Medium
Watch machine learning tutorial 259,Study,Low
Revise history essay 660,Study,Medium
Take notes for thesis introduction 923,Study,Medium
Research quarterly sales data 577,Work,Medium
Attend final exam 628,Study,High
Complete office workstation 201,Work,Medium
Cook healthy dinner 847,Personal,Medium
Clean favorite podcast 253,Personal,Low
Research project report 628,Work,Medium
Revise thesis introduction 242,Study,Medium
Pay electricity bill 995,Personal,High
Attend weekly groceries 594,Personal,Medium
Study final exam 329,Study,High
Exercise weekly groceries 489,Personal,Medium
Present server maintenance 250,Work,Medium
Complete machine learning tutorial 705,Study,Medium
Plan living room 793,Personal,Medium
Plan living room 817,Personal,Medium
Attend healthy dinner 203,Personal,Medium
Attend yoga session 522,Personal,Medium
Develop office workstation 359,Work,Medium
Submit office workstation 186,Work,High
Research LinkedIn profile 945,Work,Medium
Plan weekend trip 713,Personal,Low
Draft sprint plan 839,Work,Medium
Call quarterly sales data 374,Work,Medium
Complete team meeting 769,Work,High
Clean healthy dinner 478,Personal,Low
Visit garden plants 543,Personal,Medium
Wash football with friends 550,Personal,Low
Update office workstation 926,Work,Medium
Present LinkedIn profile 334,Work,Medium
Complete office workstation 61,Work,Medium
Call software feature 753,Work,Medium
Email project report 278,Work,Medium
Fix budget sheet 589,Work,Medium
Attend software feature 715,Work,Medium
Water garden plants 441,Personal,Medium
Update office workstation 510,Work,Medium
Present team meeting 546,Work,High
Exercise Netflix movie 167,Personal,Low
Practice geography project 345,Study,Medium
Wash weekly groceries 247,Personal,Medium
Go to electricity bill 317,Personal,High
Take notes for chemistry lab report 143,Study,Medium
Develop office workstation 457,Work,Medium
Practice online course 985,Study,Medium
Listen to dancing class 516,Personal,Low
Practice online course 446,Study,Medium
Study biology chapter 32,Study,Medium
Visit car 437,Personal,Medium
Pay garden plants 496,Personal,Medium
Revise final exam 974,Study,High
Organize living room 63,Personal,Medium
Schedule server maintenance 345,Work,Medium
Coordinate budget sheet 856,Work,Medium
Present bug in production 301,Work,High
Attend code documentation 346,Work,Medium
Watch weekly groceries 73,Personal,Low
Wash dancing class 46,Personal,Low
Complete English vocabulary 544,Study,Medium
Plan living room 17,Personal,Medium
Submit sprint plan 492,Work,High
Read university library books 709,Study,Medium
Research project report 920,Work,Medium
Water weekend trip 51,Personal,Low
Complete server maintenance 545,Work,Medium
Visit electricity bill 212,Personal,High
Clean living room 467,Personal,Low
Water gym workout 158,Personal,Medium
Call contract for freelancer 572,Work,Medium
Read university library books 884,Study,Medium
Organize marketing strategy 65,Work,Medium
Call contract for freelancer 400,Work,Medium
Watch machine learning tutorial 482,Study,Low
Fix bug in production 795,Work,High
Review budget sheet 734,Work,Medium
Organize weekend trip 853,Personal,Low
Organize living room 800,Personal,Medium
Watch garden plants 911,Personal,Low
Go to healthy dinner 896,Personal,Medium
Schedule quarterly sales data 666,Work,Medium
Cook wardrobe 387,Personal,Medium
Research LinkedIn profile 13,Work,Medium
Plan Netflix movie 419,Personal,Low
Research English vocabulary 485,Study,Medium
Complete machine learning tutorial 600,Study,Medium
Go to car 914,Personal,Medium
Fix LinkedIn profile 634,Work,Medium
Submit project report 438,Work,High
Submit team meeting 723,Work,High
Call office workstation 82,Work,Medium
Plan yoga session 284,Personal,Medium
Watch weekend trip 821,Personal,Low
Develop budget sheet 603,Work,Medium
Plan electricity bill 724,Personal,High
Memorize history essay 176,Study,Medium
Take notes for coding challenge 44,Study,Medium
Call software feature 553,Work,Medium
Complete geography project 469,Study,Medium
Memorize online course 888,Study,Medium
Go to dentist appointment 36,Personal,Medium
Wash electricity bill 591,Personal,High
Pay dentist appointment 10,Personal,Medium
Submit machine learning tutorial 752,Study,High
Submit coding challenge 196,Study,High
Develop sprint plan 747,Work,Medium
Prepare university library books 30,Study,Medium
Develop sprint plan 925,Work,Medium
Go to garden plants 130,Personal,Medium
Coordinate bug in production 551,Work,High
Research contract for freelancer 487,Work,Medium
Complete thesis introduction 92,Study,Medium
Analyze bug in production 794,Work,High
Memorize final exam 708,Study,High
Water yoga session 372,Personal,Medium
Visit living room 54,Personal,Medium
Prepare coding challenge 102,Study,Medium
Plan dancing class 587,Personal,Low
Review team meeting 496,Work,High
Memorize geography project 937,Study,Medium
Email quarterly sales data 659,Work,Medium
Complete biology chapter 257,Study,Medium
Attend electricity bill 708,Personal,High
Organize Netflix movie 132,Personal,Low
Listen to dentist appointment 170,Personal,Medium
Complete business lead 376,Work,Medium
Water living room 404,Personal,Medium
Take notes for final exam 439,Study,High
Buy electricity bill 231,Personal,High
Plan electricity bill 824,Personal,High
Write machine learning tutorial 742,Study,Medium
Research team meeting 602,Work,High
Attend client proposal 347,Work,Medium
Email software feature 113,Work,Medium
Call budget sheet 281,Work,Medium
Go to Netflix movie 514,Personal,Low
Organize weekly groceries 329,Personal,Medium
Watch biology chapter 850,Study,Low
Analyze project report 365,Work,Medium
Study thesis introduction 147,Study,Medium
Write history essay 355,Study,Medium
Email project report 945,Work,Medium
Solve math assignment 302,Study,Medium
Draft server maintenance 411,Work,Medium
Update bug in production 313,Work,High
Complete history essay 162,Study,Medium
Research university library books 312,Study,Medium
Organize software feature 869,Work,Medium
Research bug in production 232,Work,High
Practice physics numericals 280,Study,Medium
Prepare psychology notes 188,Study,Medium
Call client proposal 197,Work,Medium
Visit favorite podcast 644,Personal,Low
Take notes for history essay 983,Study,Medium
Study history essay 909,Study,Medium
Fix client proposal 909,Work,Medium
Draft budget sheet 273,Work,Medium
Prepare chemistry lab report 53,Study,Medium
Call marketing strategy 162,Work,Medium
Listen to Netflix movie 339,Personal,Low
Develop server maintenance 518,Work,Medium
Visit yoga session 475,Personal,Medium
Go to football with friends 134,Personal,Low
Complete university library books 296,Study,Medium
Develop project report 252,Work,Medium
Organize dentist appointment 632,Personal,Medium
Listen to healthy dinner 806,Personal,Medium
Attend dentist appointment 625,Personal,Medium
Pay yoga session 414,Personal,Medium
Water healthy dinner 334,Personal,Medium
Study thesis introduction 365,Study,Medium
Review team meeting 445,Work,High
Wash Netflix movie 933,Personal,Low
Coordinate LinkedIn profile 360,Work,Medium
Revise thesis introduction 199,Study,Medium
Take notes for online course 527,Study,Medium
Listen to electricity bill 907,Personal,High
Review project report 780,Work,Medium
Pay Netflix movie 294,Personal,Low
Study physics numericals 150,Study,Medium
Complete bug in production 807,Work,High
Complete server maintenance 945,Work,Medium
Listen to electricity bill 64,Personal,High
Wash gym workout 675,Personal,Medium
Exercise Netflix movie 475,Personal,Low
Visit yoga session 130,Personal,Medium
Schedule quarterly sales data 760,Work,Medium
Visit weekend trip 649,Personal,Low
Practice physics numericals 940,Study,Medium
Attend weekend trip 319,Personal,Low
Develop software feature 511,Work,Medium
Email LinkedIn profile 360,Work,Medium
Read physics numericals 348,Study,Medium
Play healthy dinner 604,Personal,Medium
Study final exam 266,Study,High
Draft project report 988,Work,Medium
Wash yoga session 646,Personal,Medium
Write history essay 782,Study,Medium
Call sprint plan 210,Work,Medium
Study psychology notes 152,Study,Medium
Revise biology chapter 359,Study,Medium
Cook dancing class 533,Personal,Low
Go to dentist appointment 40,Personal,Medium
Solve biology chapter 868,Study,Medium
Buy living room 199,Personal,Medium
Buy dancing class 885,Personal,Low
Write online course 148,Study,Medium
Analyze sprint plan 357,Work,Medium
Practice chemistry lab report 894,Study,Medium
Read physics numericals 48,Study,Medium
Water living room 748,Personal,Medium
Analyze office workstation 198,Work,Medium
Develop project report 549,Work,Medium
Develop code documentation 444,Work,Medium
Take notes for machine learning tutorial 877,Study,Medium
Research English vocabulary 722,Study,Medium
Memorize physics numericals 603,Study,Medium
Attend client proposal 561,Work,Medium
Email business lead 306,Work,Medium
Read chemistry lab report 49,Study,Medium
Study English vocabulary 38,Study,Medium
Attend server maintenance 581,Work,Medium
Attend coding challenge 619,Study,Medium
Watch psychology notes 949,Study,Low
Study history essay 822,Study,Medium
Clean football with friends 127,Personal,Low
Listen to car 292,Personal,Medium
Exercise yoga session 956,Personal,Medium
Prepare thesis introduction 405,Study,Medium
Plan favorite podcast 449,Personal,Low
Update budget sheet 695,Work,Medium
Update client proposal 466,Work,Medium
Update client proposal 186,Work,Medium
Cook living room 338,Personal,Medium
Memorize biology chapter 51,Study,Medium
Memorize machine learning tutorial 271,Study,Medium
Plan electricity bill 693,Personal,High
Review quarterly sales data 550,Work,Medium
Practice psychology notes 356,Study,Medium
Revise psychology notes 228,Study,Medium
Attend Netflix movie 577,Personal,Low
Watch living room 525,Personal,Low
Prepare math assignment 608,Study,Medium
Exercise favorite podcast 489,Personal,Low
Complete online course 908,Study,Medium
Review LinkedIn profile 578,Work,Medium
Complete code documentation 200,Work,Medium
Pay living room 560,Personal,Medium
Plan football with friends 409,Personal,Low
Email code documentation 388,Work,Medium
Buy gym workout 16,Personal,Medium
Review contract for freelancer 897,Work,Medium
Watch gym workout 817,Personal,Low
Schedule bug in production 292,Work,High
Analyze server maintenance 582,Work,Medium
Submit psychology notes 213,Study,High
Listen to football with friends 889,Personal,Low
Visit gym workout 116,Personal,Medium
Take notes for biology chapter 716,Study,Medium
Study geography project 992,Study,Medium
Attend history essay 437,Study,Medium
Listen to living room 720,Personal,Medium
Organize client proposal 853,Work,Medium
Revise psychology notes 669,Study,Medium
Listen to living room 859,Personal,Medium
Take notes for biology chapter 451,Study,Medium
Submit online course 55,Study,High
Attend electricity bill 670,Personal,High
Plan favorite podcast 560,Personal,Low
Watch physics numericals 716,Study,Low
Update contract for freelancer 29,Work,Medium
Solve university library books 249,Study,Medium
Exercise football with friends 932,Personal,Low
Pay weekly groceries 310,Personal,Medium
Exercise dentist appointment 815,Personal,Medium
Attend marketing strategy 684,Work,Medium
Submit physics numericals 618,Study,High
Read English vocabulary 36,Study,Medium
Fix client proposal 488,Work,Medium
Complete marketing strategy 140,Work,Medium
Call project report 830,Work,Medium
Email business lead 44,Work,Medium
Research code documentation 408,Work,Medium
Practice math assignment 541,Study,Medium
Play favorite podcast 554,Personal,Low
Take notes for psychology notes 978,Study,Medium
Solve history essay 114,Study,Medium
Read physics numericals 183,Study,Medium
Submit project report 127,Work,High
Practice physics numericals 996,Study,Medium
Develop LinkedIn profile 782,Work,Medium
Memorize English vocabulary 889,Study,Medium
Research history essay 945,Study,Medium
Update sprint plan 385,Work,Medium
Call quarterly sales data 125,Work,Medium
Buy Netflix movie 473,Personal,Low
Draft office workstation 999,Work,Medium
Watch electricity bill 705,Personal,High
Fix marketing strategy 830,Work,Medium
Review LinkedIn profile 880,Work,Medium
Plan healthy dinner 207,Personal,Medium
Attend marketing strategy 696,Work,Medium
Visit gym workout 549,Personal,Medium
Play favorite podcast 104,Personal,Low
Organize garden plants 47,Personal,Medium
Draft software feature 245,Work,Medium
Analyze sprint plan 667,Work,Medium
Practice psychology notes 653,Study,Medium
Update sprint plan 356,Work,Medium
Email bug in production 303,Work,High
Practice math assignment 414,Study,Medium
Play Netflix movie 651,Personal,Low
Develop marketing strategy 976,Work,Medium
Organize favorite podcast 86,Personal,Low
Call server maintenance 531,Work,Medium
Prepare English vocabulary 35,Study,Medium
Pay garden plants 914,Personal,Medium
Write chemistry lab report 642,Study,Medium
Study physics numericals 223,Study,Medium
Update quarterly sales data 810,Work,Medium
Clean yoga session 52,Personal,Low
Coordinate sprint plan 448,Work,Medium
Buy weekly groceries 607,Personal,Medium
Organize budget sheet 355,Work,Medium
Attend software feature 639,Work,Medium
Email client proposal 366,Work,Medium
Practice machine learning tutorial 567,Study,Medium
Clean weekly groceries 986,Personal,Low
Attend wardrobe 416,Personal,Medium
Research LinkedIn profile 568,Work,Medium
Go to yoga session 881,Personal,Medium
Update contract for freelancer 362,Work,Medium
Pay healthy dinner 691,Personal,Medium
Practice history essay 956,Study,Medium
Visit car 661,Personal,Medium
Visit Netflix movie 180,Personal,Low
Wash car 562,Personal,Medium
Exercise football with friends 673,Personal,Low
Draft software feature 689,Work,Medium
Fix business lead 212,Work,Medium
Coordinate client proposal 232,Work,Medium
Coordinate bug in production 523,Work,High
Coordinate contract for freelancer 788,Work,Medium
Plan wardrobe 48,Personal,Medium
Complete software feature 269,Work,Medium
Review sprint plan 672,Work,Medium
Go to dentist appointment 172,Personal,Medium
Attend thesis introduction 718,Study,Medium
Memorize psychology notes 916,Study,Medium
Submit project report 332,Work,High
Submit physics numericals 747,Study,High
Solve math assignment 804,Study,Medium
Go to wardrobe 504,Personal,Medium
Email budget sheet 438,Work,Medium
Submit coding challenge 488,Study,High
Memorize final exam 369,Study,High
Develop office workstation 77,Work,Medium
Fix contract for freelancer 512,Work,Medium
Study chemistry lab report 941,Study,Medium
Memorize geography project 25,Study,Medium
Plan living room 134,Personal,Medium
Attend university library books 663,Study,Medium
Wash electricity bill 561,Personal,High
Take notes for biology chapter 693,Study,Medium
Cook dancing class 81,Personal,Low
Call server maintenance 479,Work,Medium
Watch dentist appointment 957,Personal,Low
Coordinate office workstation 379,Work,Medium
Attend coding challenge 535,Study,Medium
Email code documentation 889,Work,Medium
Read coding challenge 165,Study,Medium
Water garden plants 432,Personal,Medium
Attend online course 737,Study,Medium
Clean dentist appointment 370,Personal,Low
Visit garden plants 212,Personal,Medium
Plan gym workout 502,Personal,Medium
Solve physics numericals 579,Study,Medium
Develop business lead 449,Work,Medium
Go to favorite podcast 658,Personal,Low
Research budget sheet 273,Work,Medium
Play Netflix movie 703,Personal,Low
Develop sprint plan 825,Work,Medium
Call sprint plan 821,Work,Medium
Update project report 278,Work,Medium
Go to yoga session 407,Personal,Medium
Play weekly groceries 848,Personal,Medium
Research client proposal 963,Work,Medium
Organize weekly groceries 922,Personal,Medium
Write online course 731,Study,Medium
Watch weekly groceries 855,Personal,Low
Solve machine learning tutorial 943,Study,Medium
Submit chemistry lab report 201,Study,High
Watch machine learning tutorial 526,Study,Low
Visit car 988,Personal,Medium
Prepare English vocabulary 339,Study,Medium
Pay garden plants 829,Personal,Medium
Revise geography project 542,Study,Medium
Fix client proposal 351,Work,Medium
Wash weekly groceries 537,Personal,Medium
Take notes for final exam 39,Study,High
Draft client proposal 331,Work,Medium
Read coding challenge 585,Study,Medium
Call quarterly sales data 527,Work,Medium
Submit office workstation 639,Work,High
Prepare online course 16,Study,Medium
Develop software feature 544,Work,Medium
Plan favorite podcast 268,Personal,Low
Analyze client proposal 998,Work,Medium
Attend project report 854,Work,Medium
Buy gym workout 965,Personal,Medium
Update project report 448,Work,Medium
Email code documentation 489,Work,Medium
Study machine learning tutorial 660,Study,Medium
Draft software feature 881,Work,Medium
Attend math assignment 348,Study,Medium
Play yoga session 210,Personal,Medium
Present contract for freelancer 591,Work,Medium
Memorize English vocabulary 391,Study,Medium
Fix contract for freelancer 542,Work,Medium
Attend business lead 797,Work,Medium
Revise final exam 877,Study,High
Call code documentation 647,Work,Medium
Solve online course 481,Study,Medium
Complete online course 437,Study,Medium
Email team meeting 380,Work,High
Fix quarterly sales data 280,Work,Medium
Complete physics numericals 339,Study,Medium
Attend biology chapter 170,Study,Medium
Complete history essay 505,Study,Medium
Watch favorite podcast 873,Personal,Low
Watch final exam 727,Study,High
Complete software feature 512,Work,Medium
Prepare physics numericals 398,Study,Medium
Read history essay 963,Study,Medium
Water car 813,Personal,Medium
Coordinate server maintenance 480,Work,Medium
Exercise dentist appointment 850,Personal,Medium
Pay healthy dinner 472,Personal,Medium
Memorize math assignment 835,Study,Medium
Watch weekly groceries 580,Personal,Low
Coordinate software feature 264,Work,Medium
Wash garden plants 951,Personal,Medium
Buy wardrobe 578,Personal,Medium
Watch online course 601,Study,Low
Listen to gym workout 110,Personal,Medium
Write history essay 11,Study,Medium
Review code documentation 810,Work,Medium
Cook weekend trip 937,Personal,Low
Take notes for history essay 649,Study,Medium
Fix code documentation 360,Work,Medium
Read machine learning tutorial 248,Study,Medium
Practice psychology notes 105,Study,Medium
Email quarterly sales data 260,Work,Medium
Coordinate server maintenance 975,Work,Medium
Email server maintenance 202,Work,Medium
Coordinate LinkedIn profile 258,Work,Medium
Read online course 953,Study,Medium
Organize software feature 570,Work,Medium
Attend chemistry lab report 262,Study,Medium
Organize team meeting 607,Work,High
Write thesis introduction 989,Study,Medium
Attend server maintenance 349,Work,Medium
Prepare psychology notes 856,Study,Medium
Clean car 896,Personal,Low
Listen to weekend trip 769,Personal,Low
Develop team meeting 967,Work,High
Read physics numericals 19,Study,Medium
Take notes for thesis introduction 23,Study,Medium
Submit English vocabulary 803,Study,High
Email office workstation 46,Work,Medium
Review sprint plan 25,Work,Medium
Play electricity bill 329,Personal,High
Exercise yoga session 215,Personal,Medium
Listen to dentist appointment 896,Personal,Medium
Submit business lead 319,Work,High
Exercise football with friends 451,Personal,Low
Analyze team meeting 230,Work,High
Practice thesis introduction 618,Study,Medium
Present team meeting 964,Work,High
Attend team meeting 935,Work,High
Analyze business lead 480,Work,Medium
Develop bug in production 70,Work,High
Take notes for final exam 378,Study,High
Schedule code documentation 788,Work,Medium
Study psychology notes 996,Study,Medium
Prepare final exam 200,Study,High
Coordinate quarterly sales data 689,Work,Medium
Practice English vocabulary 916,Study,Medium
Listen to electricity bill 238,Personal,High
Buy dentist appointment 350,Personal,Medium
Coordinate contract for freelancer 856,Work,Medium
Present team meeting 296,Work,High
Call client proposal 74,Work,Medium
Study biology chapter 506,Study,Medium
Visit weekend trip 690,Personal,Low
Analyze software feature 812,Work,Medium
Play yoga session 126,Personal,Medium
Present team meeting 514,Work,High
Practice geography project 309,Study,Medium
Research bug in production 146,Work,High
Solve online course 506,Study,Medium
Read university library books 936,Study,Medium
Complete chemistry lab report 489,Study,Medium
Watch machine learning tutorial 315,Study,Low
Water dancing class 938,Personal,Low
Complete marketing strategy 565,Work,Medium
Fix server maintenance 670,Work,Medium
Visit electricity bill 187,Personal,High
Read final exam 970,Study,High
Solve math assignment 19,Study,Medium
Attend biology chapter 210,Study,Medium
Go to yoga session 172,Personal,Medium
Read math assignment 334,Study,Medium
Watch coding challenge 955,Study,Low
Buy weekly groceries 42,Personal,Medium
Attend math assignment 776,Study,Medium
Revise geography project 170,Study,Medium
Attend wardrobe 884,Personal,Medium
Email quarterly sales data 425,Work,Medium
Submit history essay 23,Study,High
Watch car 486,Personal,Low
Fix marketing strategy 915,Work,Medium
Fix team meeting 193,Work,High
Prepare math assignment 626,Study,Medium
Draft project report 369,Work,Medium
Present budget sheet 721,Work,Medium
Visit Netflix movie 435,Personal,Low
Watch online course 907,Study,Low
Organize weekly groceries 80,Personal,Medium
Submit contract for freelancer 937,Work,High
Review contract for freelancer 76,Work,Medium
Draft code documentation 188,Work,Medium
Research LinkedIn profile 616,Work,Medium
Attend yoga session 76,Personal,Medium
Analyze software feature 704,Work,Medium
Practice coding challenge 483,Study,Medium
Update team meeting 462,Work,High
Attend dentist appointment 836,Personal,Medium
Visit wardrobe 13,Personal,Medium
Wash Netflix movie 61,Personal,Low
Coordinate code documentation 246,Work,Medium
Email office workstation 832,Work,Medium
Revise English vocabulary 745,Study,Medium
Attend yoga session 894,Personal,Medium
Watch car 881,Personal,Low
Pay favorite podcast 356,Personal,Low
Visit yoga session 832,Personal,Medium
Draft project report 723,Work,Medium
Buy dancing class 931,Personal,Low
Clean dancing class 679,Personal,Low
Prepare physics numericals 155,Study,Medium
Write biology chapter 691,Study,Medium
Research machine learning tutorial 350,Study,Medium
Research psychology notes 543,Study,Medium
Plan car 894,Personal,Medium
Listen to Netflix movie 494,Personal,Low
Organize wardrobe 347,Personal,Medium
Develop project report 30,Work,Medium
Practice math assignment 32,Study,Medium
Analyze project report 445,Work,Medium
Complete server maintenance 75,Work,Medium
Memorize English vocabulary 581,Study,Medium
Solve biology chapter 616,Study,Medium
Watch math assignment 529,Study,Low
Watch biology chapter 324,Study,Low
Research software feature 420,Work,Medium
Coordinate business lead 878,Work,Medium
Revise online course 304,Study,Medium
Revise thesis introduction 927,Study,Medium
Coordinate server maintenance 313,Work,Medium
Study final exam 883,Study,High
Visit dancing class 164,Personal,Low
Play weekend trip 738,Personal,Low
Prepare university library books 102,Study,Medium
Fix team meeting 464,Work,High
Update team meeting 20,Work,High
Fix software feature 589,Work,Medium
Analyze client proposal 706,Work,Medium
Schedule server maintenance 45,Work,Medium
Cook Netflix movie 485,Personal,Low
Solve biology chapter 58,Study,Medium
Complete project report 9,Work,Medium
Develop project report 429,Work,Medium
Read final exam 579,Study,High
Schedule marketing strategy 978,Work,Medium
Visit gym workout 939,Personal,Medium
Play garden plants 898,Personal,Medium
Buy wardrobe 382,Personal,Medium
Read psychology notes 866,Study,Medium
Water Netflix movie 448,Personal,Low
Go to dentist appointment 935,Personal,Medium
Study biology chapter 8,Study,Medium
Call business lead 595,Work,Medium
Complete university library books 920,Study,Medium
Organize budget sheet 881,Work,Medium
Memorize physics numericals 47,Study,Medium
Watch weekend trip 285,Personal,Low
Pay dancing class 457,Personal,Low
Attend LinkedIn profile 424,Work,Medium
Fix business lead 294,Work,Medium
Memorize physics numericals 342,Study,Medium
Schedule bug in production 666,Work,High
Schedule business lead 918,Work,Medium
Analyze bug in production 877,Work,High
Research project report 549,Work,Medium
Go to garden plants 389,Personal,Medium
Research final exam 624,Study,High
Attend software feature 706,Work,Medium
Study coding challenge 265,Study,Medium
Water dancing class 6,Personal,Low
Revise final exam 699,Study,High
Research physics numericals 673,Study,Medium
Wash weekly groceries 962,Personal,Medium
Go to gym workout 469,Personal,Medium
Visit car 943,Personal,Medium
Water football with friends 389,Personal,Low
Attend contract for freelancer 472,Work,Medium
Visit wardrobe 372,Personal,Medium
Watch living room 75,Personal,Low
Memorize math assignment 903,Study,Medium
Memorize machine learning tutorial 320,Study,Medium
Attend bug in production 300,Work,High
Prepare university library books 815,Study,Medium
Update bug in production 628,Work,High
Exercise Netflix movie 759,Personal,Low
Complete project report 332,Work,Medium
Organize client proposal 677,Work,Medium
Complete university library books 196,Study,Medium
Water wardrobe 281,Personal,Medium
Solve geography project 767,Study,Medium
Water dancing class 134,Personal,Low
Update bug in production 565,Work,High
Email marketing strategy 385,Work,Medium
Organize gym workout 659,Personal,Medium
Coordinate marketing strategy 567,Work,Medium
Practice final exam 973,Study,High
Prepare chemistry lab report 427,Study,Medium
Practice geography project 873,Study,Medium
Listen to living room 357,Personal,Medium
Write machine learning tutorial 963,Study,Medium
Solve psychology notes 211,Study,Medium
Attend English vocabulary 672,Study,Medium
Memorize biology chapter 743,Study,Medium
Fix contract for freelancer 880,Work,Medium
Pay Netflix movie 980,Personal,Low
Exercise weekend trip 830,Personal,Low
Revise English vocabulary 382,Study,Medium
Watch university library books 100,Study,Low
Draft quarterly sales data 851,Work,Medium
Present budget sheet 216,Work,Medium
Plan electricity bill 196,Personal,High
Revise English vocabulary 736,Study,Medium
Visit dancing class 584,Personal,Low
Email team meeting 22,Work,High
Email office workstation 531,Work,Medium
Analyze software feature 609,Work,Medium
Study chemistry lab report 873,Study,Medium
Attend weekend trip 533,Personal,Low
Organize LinkedIn profile 534,Work,Medium
Complete software feature 320,Work,Medium
Research university library books 500,Study,Medium
Wash weekly groceries 867,Personal,Medium
Analyze LinkedIn profile 538,Work,Medium
Attend math assignment 206,Study,Medium
Draft team meeting 190,Work,High
Watch dancing class 737,Personal,Low
Watch weekly groceries 74,Personal,Low
Cook dancing class 362,Personal,Low
Complete physics numericals 993,Study,Medium
Attend LinkedIn profile 92,Work,Medium
Revise university library books 90,Study,Medium
Fix contract for freelancer 804,Work,Medium
